"","iso","year","liquids.sequestration","solids","liquids","gas","cement","gas.flaring","liquids.shipping"
"92","ago",1999,50.24,0,1012,286,28,1171,320
"93","ago",2000,143.17,0,1001,296,27,1278,384
"94","ago",2001,172.47,0,1174,270,75,1135,416
"95","ago",2002,202.61,0,1370,316,81,1687,357
"96","ago",2003,202.61,0,1866,332,95,179,128
"97","ago",2004,137.31,0,1374,393,103,3255,351
"98","ago",2005,107.17,0,1292,341,179,3412,246
"99","ago",2006,108.84,0,2117,356,187,3412,80
"100","ago",2007,96.28,0,2402,435,190,3832,107
"101","ago",2008,90.42,0,2875,347,242,3633,126
"102","ago",2009,164.1,0,3046,352,245,3626,327
"103","aia",1997,0,0,5,0,0,0,0
"104","aia",1998,0,0,7,0,0,0,0
"105","aia",1999,0,0,7,0,0,0,0
"106","aia",2000,0,0,9,0,0,0,0
"107","aia",2001,0,0,10,0,0,0,0
"108","aia",2002,0,0,10,0,0,0,0
"109","aia",2003,0,0,11,0,0,0,0
"110","aia",2004,0,0,12,0,0,0,0
"111","aia",2005,0,0,14,0,0,0,0
"112","aia",2006,0,0,14,0,0,0,0
"113","aia",2007,0,0,16,0,0,0,0
"114","aia",2008,0,0,16,0,0,0,0
"115","aia",2009,0,0,16,0,0,0,0
"116","alb",1971,0,270,802,66,49,0,0
"117","alb",1972,0,295,1114,76,54,0,0
"118","alb",1973,0,319,954,100,70,0,0
"119","alb",1974,0,330,661,117,76,0,0
"120","alb",1975,0,344,670,151,88,0,0
"121","alb",1976,0,347,724,183,95,0,0
"122","alb",1977,0,464,804,191,102,0,0
"123","alb",1978,0,580,896,185,109,0,0
"124","alb",1979,0,732,1030,193,115,0,0
"125","alb",1980,0,634,429,211,136,0,0
"126","alb",1981,0,722,954,220,107,0,0
"127","alb",1982,0,786,858,236,113,0,0
"128","alb",1983,0,847,854,266,114,0,0
"129","alb",1984,0,928,804,285,117,0,0
"130","alb",1985,0,1016,752,265,116,0,0
"131","alb",1986,0,1012,783,287,115,0,0
"132","alb",1987,0,1019,770,123,117,0,0
"133","alb",1988,0,1096,703,97,101,0,0
"134","alb",1989,0,1107,1118,122,103,0,0
"135","alb",1990,0,758,1055,127,102,0,0
"136","alb",1991,17.58,404,522,75,82,0,0
"137","alb",1992,8.37,218,351,54,27,0,0
"138","alb",1993,15.91,164,406,43,27,0,0
"139","alb",1994,28.47,46,439,27,14,0,0
"140","alb",1995,27.63,44,484,14,27,0,0
"141","alb",1996,16.75,31,479,12,28,0,0
"142","alb",1997,14.23,12,385,10,14,0,0
"143","alb",1998,13.4,15,444,9,11,0,0
"144","alb",1999,40.19,30,761,8,14,0,31
"145","alb",2000,39.35,19,776,6,24,0,34
"146","alb",2001,40.19,22,853,4,0,0,37
"147","alb",2002,47.72,23,992,7,0,0,37
"148","alb",2003,58.61,23,1061,7,79,0,42
"149","alb",2004,41.03,23,1013,9,78,0,38
"150","alb",2005,98.8,20,1160,9,67,0,43
"151","alb",2006,112.19,20,1057,9,71,0,32
"152","alb",2007,73.68,20,1076,9,121,0,9
"153","alb",2008,58.61,25,997,4,100,0,15
"154","alb",2009,64.47,77,638,4,101,0,15
"155","and",1995,0,0,111,0,0,0,0
"156","and",1996,0,0,116,0,0,0,0
"157","and",1997,0,0,125,0,0,0,0
"158","and",1998,0,0,132,0,0,0,0
"159","and",1999,0,0,140,0,0,0,0
"160","and",2000,0,0,143,0,0,0,0
"161","and",2001,0,0,143,0,0,0,0
"162","and",2002,0,0,145,0,0,0,0
"163","and",2003,0,0,146,0,0,0,0
"164","and",2004,0,0,154,0,0,0,0
"165","and",2005,0,0,157,0,0,0,0
"166","and",2006,0,0,149,0,0,0,0
"167","and",2007,0,0,147,0,0,0,0
"168","and",2008,0,0,147,0,0,0,0
"169","and",2009,0,0,141,0,0,0,0
"170","ant",1971,0,0,3953,0,0,0,2179
"171","ant",1972,0,0,3833,0,0,0,1843
"172","ant",1973,0,0,4252,0,0,0,2023
"173","ant",1974,0,0,3854,0,0,0,2046
"174","ant",1975,0,0,2791,0,0,0,2068
"175","ant",1976,20.09,0,5962,0,0,0,2126
"176","ant",1977,18.42,0,3114,0,0,0,1967
"177","ant",1978,22.61,0,2652,0,0,0,1970
"178","ant",1979,23.44,0,2782,0,0,0,2049
"179","ant",1980,46.05,0,2863,0,0,0,2058
"180","ant",1981,35.16,0,2727,0,0,0,1968
"181","ant",1982,26.79,0,3049,0,0,0,1967
"182","ant",1983,35.16,0,1567,0,0,0,1616
"183","ant",1984,25.12,0,3913,0,0,0,1573
"184","ant",1985,25.12,0,4580,0,0,0,1471
"185","ant",1986,0,0,1414,0,0,0,1462
"186","ant",1987,0,0,1273,0,0,0,1398
"187","ant",1988,0,0,1133,0,0,0,1398
"188","ant",1989,0,0,1611,0,0,0,1445
"189","ant",1990,0,0,1695,0,0,0,1466
"190","ant",1991,0,0,1403,0,0,0,1513
"191","ant",1992,0,0,1183,0,0,0,1513
"192","ant",1993,0,0,1833,0,0,0,1501
"193","ant",1994,0,0,1791,0,0,0,1515
"194","ant",1995,0,0,1772,0,0,0,1521
"195","ant",1996,0,0,1674,0,0,0,1526
"196","ant",1997,0,0,1740,0,0,0,1533
"197","ant",1998,99.63,0,77,0,0,0,1542
"198","ant",1999,99.63,0,577,0,0,0,1571
"199","ant",2000,97.12,0,1531,0,0,0,1523
"200","ant",2001,97.12,0,1559,0,0,0,1532
"201","ant",2002,97.12,0,1503,0,0,0,1537
"202","ant",2003,92.1,0,1504,0,0,0,1527
"203","ant",2004,92.93,0,1578,0,0,0,1543
"204","ant",2005,94.61,0,1564,0,0,0,1566
"205","ant",2006,96.28,0,1510,0,0,0,1594
"206","ant",2007,97.96,0,1698,0,0,0,1622
"207","ant",2008,99.63,0,1626,0,0,0,1654
"208","ant",2009,95.45,0,1672,0,0,0,1588
"209","are",1971,0,0,161,302,0,5313,20
"210","are",1972,0,0,221,357,0,5819,28
"211","are",1973,0,0,322,445,0,7586,41
"212","are",1974,0,0,468,490,0,7586,108
"213","are",1975,0,0,683,415,0,7375,189
"214","are",1976,0,0,1184,460,27,9143,229
"215","are",1977,0,0,2058,304,27,8187,325
"216","are",1978,0,0,2302,349,169,9401,351
"217","are",1979,0,0,2529,1957,173,5323,369
"218","are",1980,0,0,2460,2395,234,4976,507
"219","are",1981,0,0,3575,3043,234,3200,534
"220","are",1982,0,0,3873,3187,302,2693,580
"221","are",1983,0,0,3843,2915,281,2599,528
"222","are",1984,0,0,4411,4021,545,3675,573
"223","are",1985,0,0,4833,5024,572,3187,547
"224","are",1986,0,0,4545,6037,373,1927,547
"225","are",1987,0,0,4425,6857,422,1302,573
"226","are",1988,0,0,4995,6976,447,772,265
"227","are",1989,0,0,5328,8477,461,593,239
"228","are",1990,0,0,4810,8379,443,551,248
"229","are",1991,0,0,4759,10043,472,273,257
"230","are",1992,0,0,5615,9280,517,441,257
"231","are",1993,0,0,7503,9716,544,231,257
"232","are",1994,0,0,7796,11263,680,205,274
"233","are",1995,0,0,6022,12247,805,189,410
"234","are",1996,0,0,-4627,14803,816,205,9885
"235","are",1997,0,0,-4663,14508,714,798,10070
"236","are",1998,35.16,0,5218,15258,961,787,10016
"237","are",1999,32.65,0,4178,15551,961,682,9438
"238","are",2000,32.65,0,12723,16466,830,677,9115
"239","are",2001,30.14,0,9540,16902,830,362,8516
"240","are",2002,35.16,0,2814,18976,952,247,8170
"241","are",2003,25.12,0,7889,19709,1088,320,10882
"242","are",2004,25.95,0,8193,21036,1224,483,12287
"243","are",2005,25.95,0,8512,21350,1360,488,12470
"244","are",2006,25.95,0,8630,22533,1496,499,13660
"245","are",2007,26.79,0,9041,26110,1632,509,14947
"246","are",2008,27.63,0,9364,30063,1795,514,15623
"247","are",2009,27.63,0,9390,30693,2176,508,13901
"248","arg",1971,1249.18,799,18919,3008,752,776,512
"249","arg",1972,1160.43,780,18913,3403,741,749,207
"250","arg",1973,1188.9,786,19435,3872,705,854,128
"251","arg",1974,1064.98,919,19501,4073,733,836,119
"252","arg",1975,1040.7,981,18808,4291,743,1065,82
"253","arg",1976,1011.4,884,19614,4494,777,1442,161
"254","arg",1977,1039.03,738,19843,4614,816,1476,311
"255","arg",1978,1004.7,1046,19896,4483,859,1706,307
"256","arg",1979,1138.66,983,21581,4917,907,1801,359
"257","arg",1980,1010.56,782,20881,5340,970,1680,383
"258","arg",1981,956.14,807,19121,5591,904,1404,404
"259","arg",1982,839.76,726,18840,6345,765,1527,500
"260","arg",1983,1053.26,598,18743,7168,765,1418,613
"261","arg",1984,1100.15,586,18350,7451,710,1951,591
"262","arg",1985,1131.12,757,16495,7863,630,1689,569
"263","arg",1986,1080.05,926,16976,8451,755,1311,390
"264","arg",1987,1122.75,1031,18137,10016,857,1304,548
"265","arg",1988,1072.52,1098,18076,11526,823,1602,486
"266","arg",1989,872.41,1131,16308,12175,608,1709,628
"267","arg",1990,712.5,838,16154,11794,491,1434,628
"268","arg",1991,879.11,734,16712,12905,462,1100,410
"269","arg",1992,864.88,765,17367,13183,687,1116,415
"270","arg",1993,1348.81,628,18327,11137,768,1484,332
"271","arg",1994,1163.78,972,18342,11648,854,1823,334
"272","arg",1995,1117.73,1010,17149,14518,741,0,410
"273","arg",1996,1321.18,846,17992,15705,696,0,495
"274","arg",1997,1402.39,758,18250,16786,933,0,548
"275","arg",1998,1559.8,775,18989,16816,964,0,469
"276","arg",1999,1427.51,588,19654,18455,977,0,512
"277","arg",2000,1974.24,452,18237,18951,832,0,433
"278","arg",2001,926,352,17375,17688,754,0,487
"279","arg",2002,777.81,300,15692,17090,532,0,1019
"280","arg",2003,1110.19,543,16200,18851,710,0,1029
"281","arg",2004,1279.32,600,18508,22629,851,0,1062
"282","arg",2005,1349.65,928,18113,22371,1033,0,1198
"283","arg",2006,1284.34,1055,21522,22890,1214,0,1216
"284","arg",2007,1330.39,1118,21120,23793,1306,0,1400
"285","arg",2008,1146.2,1298,22453,24596,1320,0,1496
"286","arg",2009,1490.31,1317,20780,24189,1360,0,1517
"287","arm",1971,0,110.123091158463,0,281.86674117901,52.1464968152866,0,0
"288","arm",1972,0,113.506401632728,0,296.486210781226,54.2101910828025,0,0
"289","arm",1973,0,114.726990543565,0,313.473978338197,56.912101910828,0,0
"290","arm",1974,0,115.031552076019,0,332.37265929231,59.8471337579618,0,0
"291","arm",1975,0,118.550074483374,0,362.804165594813,63.4394904458599,0,0
"292","arm",1976,0,121.803862635596,0,399.15080470374,64.5745222929936,0,0
"293","arm",1977,0,123.833380363951,0,428.241023775943,66.0382165605096,0,0
"294","arm",1978,0,123.173720165635,0,449.353670472118,65.9847133757962,0,0
"295","arm",1979,0,123.415361293583,0,478.488786188014,63.940127388535,0,0
"296","arm",1980,0,130.066851289186,0,499.49199731519,64.9949044585987,0,0
"297","arm",1981,0,118.081183596595,0,536.338111585191,66.0955414012739,0,0
"298","arm",1982,0,119.762965685149,0,567.984633307609,64.284076433121,0,0
"299","arm",1983,0,119.027667128223,0,610.375483073575,66.6076433121019,0,0
"300","arm",1984,0,118.453685778597,0,661.518372319256,67.6394904458599,0,0
"301","arm",1985,0,134.975981572748,0,726.394022454236,67.9414012738853,0,0
"302","arm",1986,0,138.804085757598,0,701.686838222467,70.2267515923567,0,0
"303","arm",1987,0,139.186963112683,0,808.737273025645,71.4152866242038,0,0
"304","arm",1988,0,140.829252606918,0,864.010653490992,72.5044585987261,0,0
"305","arm",1989,0,133.870858297842,0,867.899825250814,72.9898089171975,0,0
"306","arm",1990,0,112.797877716018,0,893.266428936809,71.2050955414013,0,0
"307","arm",1991,0,100.647211303098,0,898.126490616471,66.0076433121019,0,0
"308","arm",1992,0,102,0,949,54,0,0
"309","arm",1993,0,2,350,411,27,0,0
"310","arm",1994,0,26,327,441,14,0,0
"311","arm",1995,0,2,204,714,31,0,29
"312","arm",1996,0,4,113,557,38,0,16
"313","arm",1997,1.67,4,119,731,40,0,17
"314","arm",1998,1.67,4,122,762,41,0,18
"315","arm",1999,0.84,2,172,621,39,0,18
"316","arm",2000,29.3,0,215,700,30,0,52
"317","arm",2001,25.12,0,212,713,41,0,50
"318","arm",2002,0,13,223,547,48,0,44
"319","arm",2003,0,20,255,608,52,0,22
"320","arm",2004,31.82,0,251,675,68,0,65
"321","arm",2005,58.61,1,270,836,82,0,75
"322","arm",2006,63.63,1,251,857,85,0,67
"323","arm",2007,97.96,4,253,1026,98,0,98
"324","arm",2008,77.86,4,282,1125,105,0,96
"325","arm",2009,78.7,0,259,865,102,0,50
"326","atg",1971,0,0,116,0,0,0,273
"327","atg",1972,0,0,102,0,0,0,285
"328","atg",1973,0,0,90,0,0,0,260
"329","atg",1974,0,0,117,0,0,0,152
"330","atg",1975,0,0,193,0,0,0,38
"331","atg",1976,0,0,110,0,0,0,57
"332","atg",1977,0,0,127,0,0,0,49
"333","atg",1978,0.84,0,134,0,0,0,51
"334","atg",1979,0.84,0,111,0,0,0,55
"335","atg",1980,0.84,0,39,0,0,0,47
"336","atg",1981,0.84,0,29,0,0,0,24
"337","atg",1982,1.67,0,80,0,0,0,44
"338","atg",1983,1.67,0,23,0,0,0,13
"339","atg",1984,3.35,0,40,0,0,0,46
"340","atg",1985,3.35,0,68,0,0,0,28
"341","atg",1986,3.35,0,68,0,0,0,32
"342","atg",1987,4.19,0,75,0,0,0,28
"343","atg",1988,4.19,0,78,0,0,0,29
"344","atg",1989,4.19,0,78,0,0,0,29
"345","atg",1990,4.19,0,82,0,0,0,29
"346","atg",1991,4.19,0,80,0,0,0,30
"347","atg",1992,4.19,0,80,0,0,0,30
"348","atg",1993,4.19,0,84,0,0,0,32
"349","atg",1994,4.19,0,85,0,0,0,36
"350","atg",1995,5.02,0,88,0,0,0,36
"351","atg",1996,5.02,0,88,0,0,0,36
"352","atg",1997,5.02,0,92,0,0,0,37
"353","atg",1998,5.02,0,91,0,0,0,37
"354","atg",1999,5.02,0,95,0,0,0,38
"355","atg",2000,5.02,0,94,0,0,0,40
"356","atg",2001,5.02,0,94,0,0,0,40
"357","atg",2002,5.02,0,99,0,0,0,44
"358","atg",2003,5.86,0,106,0,0,0,43
"359","atg",2004,5.86,0,111,0,0,0,44
"360","atg",2005,5.86,0,112,0,0,0,44
"361","atg",2006,5.86,0,116,0,0,0,44
"362","atg",2007,5.86,0,119,0,0,0,45
"363","atg",2008,5.86,0,122,0,0,0,46
"364","atg",2009,5.86,0,126,0,0,0,48
"365","aus",1971,0,20268,19638,1119,637,0,2369
"366","aus",1972,0,21216,19464,1595,671,0,2283
"367","aus",1973,0,21756,22390,1770,714,0,2637
"368","aus",1974,0,23254,20936,2104,708,0,2672
"369","aus",1975,0,23729,21269,2284,682,0,2444
"370","aus",1976,2186.06,24255,20047,2527,688,0,1766
"371","aus",1977,2157.59,26250,21260,3016,683,0,1895
"372","aus",1978,1770.78,28406,22238,3767,679,0,1953
"373","aus",1979,1862.04,29289,21749,4172,713,0,1741
"374","aus",1980,2151.73,32202,22441,4823,733,0,1627
"375","aus",1981,993.82,33063,23383,5557,817,0,1572
"376","aus",1982,1322.02,33699,23216,6149,781,0,1389
"377","aus",1983,1913.95,33376,20985,6220,658,120,1382
"378","aus",1984,2037.03,34920,22218,6564,743,75,1273
"379","aus",1985,2274.81,37033,19626,8228,801,96,998
"380","aus",1986,1901.39,36697,20182,7667,806,87,1172
"381","aus",1987,0,0,1,0,0,0,55
"382","aus",1987,1940.75,40227,20838,7907,798,70,1246
"383","aus",1988,0,0,2,0,0,0,56
"384","aus",1988,2247.18,41076,21072,8102,870,95,1407
"385","aus",1989,0,0,2,0,0,0,55
"386","aus",1989,2366.07,44157,22226,8282,938,146,1616
"387","aus",1990,0,0,3,0,0,0,55
"388","aus",1990,2479.93,45467,22553,9238,962,136,1725
"389","aus",1991,0,0,4,0,0,0,56
"390","aus",1991,2380.3,46396,21607,7785,831,155,1717
"391","aus",1992,0,0,4,0,0,0,56
"392","aus",1992,2356.86,48980,21504,8958,736,122,1823
"393","aus",1993,0,0,4,0,0,0,56
"394","aus",1993,2496.68,47991,24215,9321,748,114,1976
"395","aus",1994,0,0,4,0,0,0,56
"396","aus",1994,2480.77,48262,23918,9739,884,87,2079
"397","aus",1995,0,0,1,0,0,0,61
"398","aus",1995,2653.25,48724,23676,10457,884,97,2295
"399","aus",1996,0,0,1,0,0,0,61
"400","aus",1996,2870.09,52644,25632,10498,850,167,2430
"401","aus",1997,0,0,1,0,0,0,61
"402","aus",1997,2711.85,55107,24282,10575,877,139,2433
"403","aus",1998,0,0,1,0,0,0,61
"404","aus",1998,2775.48,58613,23844,11070,932,144,2535
"405","aus",1999,0,0,1,0,0,0,61
"406","aus",1999,2783.86,51731,24350,11467,1013,210,2621
"407","aus",2000,0,0,1,0,0,0,62
"408","aus",2000,2918.65,51816,24846,12039,1020,163,2722
"409","aus",2001,0,0,1,0,0,0,63
"410","aus",2001,3003.22,52789,21975,12686,1020,120,2836
"411","aus",2002,0,0,1,0,0,0,63
"412","aus",2002,2125.78,54021,24530,13399,1027,123,2338
"413","aus",2003,0,0,1,0,0,0,63
"414","aus",2003,2304.95,54141,25295,13840,1088,121,2492
"415","aus",2004,0,0,2,0,0,0,63
"416","aus",2004,2039.54,55418,24411,14207,1088,110,2602
"417","aus",2005,0,0,2,0,0,0,63
"418","aus",2005,2346.81,57647,26816,14397,1153,105,2937
"419","aus",2006,0,0,2,0,0,0,63
"420","aus",2006,1988.47,59003,27941,14636,1224,109,3069
"421","aus",2007,0,0,3,0,0,0,63
"422","aus",2007,2348.49,58520,27324,16746,1292,115,3180
"423","aus",2008,2389.51,58642,29862,17327,1224,117,3257
"424","aus",2009,2340.11,59547,30641,17667,1156,122,3202
"425","aut",1971,825.53,4107,7580,1790,747,0,46
"426","aut",1972,890.83,4267,8261,1933,863,0,46
"427","aut",1973,951.12,4327,9149,2080,851,0,47
"428","aut",1974,905.9,4532,8007,2258,875,0,39
"429","aut",1975,956.14,3975,7879,2213,766,0,36
"430","aut",1976,787.02,3894,8707,2528,800,0,44
"431","aut",1977,779.48,3423,8572,2570,766,0,45
"432","aut",1978,854.83,3503,8697,2675,800,0,50
"433","aut",1979,1013.07,3940,9430,2664,763,0,51
"434","aut",1980,956.98,3873,7116,2534,742,0,57
"435","aut",1981,941.91,3996,8185,2407,719,0,64
"436","aut",1982,898.37,3856,7820,2332,682,0,56
"437","aut",1983,1085.08,3929,7210,2370,667,0,65
"438","aut",1984,1206.48,4600,6958,2653,666,0,79
"439","aut",1985,1078.38,4546,6912,2839,620,0,86
"440","aut",1986,1080.05,4019,7584,2524,621,0,86
"441","aut",1987,445.42,4039,8464,2629,615,0,91
"442","aut",1988,1090.1,3899,7480,2519,648,0,115
"443","aut",1989,1023.96,3779,7591,2743,646,0,146
"444","aut",1990,471.37,4510,8386,2998,666,0,135
"445","aut",1991,140.66,4508,9355,3345,682,0,157
"446","aut",1992,109.68,3517,8995,3314,684,0,168
"447","aut",1993,85.4,3136,9121,3510,672,0,164
"448","aut",1994,79.54,3190,9205,3611,657,0,173
"449","aut",1995,427,3649,8747,3915,523,0,192
"450","aut",1996,509.89,3571,8892,4197,527,0,212
"451","aut",1997,571,3801,9017,4084,524,0,424
"452","aut",1998,596.12,3370,9792,4193,524,0,438
"453","aut",1999,581.89,3352,9261,4266,519,0,418
"454","aut",2000,603.66,3783,9002,4071,514,0,459
"455","aut",2001,1165.45,3910,9179,4315,517,0,442
"456","aut",2002,1129.45,3946,9477,4364,533,0,414
"457","aut",2003,1142.01,4290,10185,4718,528,0,355
"458","aut",2004,1263.41,4144,10200,4662,592,0,416
"459","aut",2005,1121.92,4230,10360,5108,620,0,469
"460","aut",2006,1344.62,4227,9993,4658,660,0,492
"461","aut",2007,1254.2,4023,9731,4359,708,0,472
"462","aut",2008,1183.87,3896,9323,4667,722,0,500
"463","aut",2009,1148.71,3009,8882,4476,626,0,442
"464","aze",1971,0,21.5927629722476,7517.86441032672,1831.98531042374,105.258669497523,724.582159624413,116.698618199925
"465","aze",1972,0,22.2561571828879,8165.1821104476,1927.0041602725,109.424274593064,692.967136150235,120.698369226939
"466","aze",1973,0,22.4954883418754,8776.25542225189,2037.4156990411,114.87813163482,824.30985915493,140.838292045313
"467","aze",1974,0,22.5552062894155,9406.5604503058,2160.24716808743,120.802547770701,904.995305164319,140.838292045313
"468","aze",1975,0,23.2451126437989,9947.074589114,2358.0359255941,128.053786270347,1005.57746478873,153.637495331756
"469","aze",1976,0,23.8831103207051,10193.2598531455,2594.26992983421,130.344869072895,1117.2676056338,0
"470","aze",1977,0,24.2810549733238,10560.0453444948,2783.34102702847,133.299363057325,1206.86384976526,0
"471","aze",1978,0,24.1517098363991,11329.3783146007,2920.56210692521,133.191365888181,1297.43661971831,0
"472","aze",1979,0,24.1990904497221,11388.9065868047,3109.92500864875,129.064331210191,704.075117370892,0
"473","aze",1980,0,25.5033041743502,11660.6912590882,3246.43481500537,131.193418259023,706.394366197183,0
"474","aze",1981,0,23.1531732542344,11803.2889678688,3485.91514463378,133.415074309979,702.976525821596,0
"475","aze",1982,0,23.4829344480684,11862.9458803154,3691.60086221426,129.758598726115,700.046948356808,0
"476","aze",1983,0,23.3387582604359,11869.7316531058,3967.11905120949,134.448761500354,689.549295774648,0
"477","aze",1984,0,23.2262128977642,11611.8401270093,4299.52088563242,136.531564048125,680.516431924883,0
"478","aze",1985,0,26.4658787397544,11724.2716989302,4721.17843045071,137.140976645435,725.802816901408,0
"479","aze",1986,0,27.2164874034505,11736.5246820257,4560.594750428,141.753998584572,635.107981220657,0
"480","aze",1987,0,27.2915613946438,11903.7891573003,5256.36617494434,144.153078556263,582.49765258216,0
"481","aze",1988,0,27.613578942533,11889.3814501434,5615.61402606158,146.351592356688,1281.07981220657,0
"482","aze",1989,0,26.2491879015376,11758.0397625792,5640.89159341098,147.331280962491,1249.220657277,0
"483","aze",1990,0,22.1172309247094,11402.4781323856,5805.76115245758,143.728803963199,826.384976525822,0
"484","aze",1991,0,19.734747314333,11369.9321510401,5837.34899275279,133.237650389243,768.769953051643,0
"485","aze",1992,149.03,20,8913,6168,109,520,378
"486","aze",1993,148.19,3,8661,4717,82,0,203
"487","aze",1994,163.26,1,7022,4550,64,0,266
"488","aze",1995,206.8,4,5467,3632,27,0,355
"489","aze",1996,251.18,4,5356,3203,30,0,191
"490","aze",1997,331.55,4,5063,3019,43,0,154
"491","aze",1998,364.2,1,5718,2893,27,0,155
"492","aze",1999,422.81,0,4579,3190,24,0,142
"493","aze",2000,463,0,4903,3117,27,0,100
"494","aze",2001,341.6,0,3078,4524,71,173,184
"495","aze",2002,271.27,0,3080,4536,115,344,225
"496","aze",2003,343.27,0,3465,4654,138,91,273
"497","aze",2004,339.92,0,3475,5083,194,0,274
"498","aze",2005,346.62,0,3995,5058,209,102,331
"499","aze",2006,382.62,0,3542,5586,221,1333,348
"500","aze",2007,345.78,0,4231,4806,230,3153,326
"501","aze",2008,493.98,0,4847,5672,217,3700,367
"502","aze",2009,433.7,0,4260,5139,174,3810,258
"503","bdi",1971,0,0,20,0,0,0,1
"504","bdi",1972,0,0,19,0,0,0,1
"505","bdi",1973,0,0,19,0,0,0,1
"506","bdi",1974,0,0,24,0,0,0,2
"507","bdi",1975,0,0,21,0,0,0,1
