# Computed as GDP/population.  Values prior to the base year (2010) are 
# historical; values subsequent are from SSP projections.
scenario,GCAM_region_ID,year,value
SSP1,1,1971,15.309148192952936
SSP2,1,1971,15.309148192952936
SSP3,1,1971,15.309148192952936
SSP4,1,1971,15.309148192952936
SSP5,1,1971,15.309148192952936
SSP1,1,1972,15.972964662438349
SSP2,1,1972,15.972964662438349
SSP3,1,1972,15.972964662438349
SSP4,1,1972,15.972964662438349
SSP5,1,1972,15.972964662438349
SSP1,1,1973,16.723339966102248
SSP2,1,1973,16.723339966102248
SSP3,1,1973,16.723339966102248
SSP4,1,1973,16.723339966102248
SSP5,1,1973,16.723339966102248
SSP1,1,1974,16.48703128700465
SSP2,1,1974,16.48703128700465
SSP3,1,1974,16.48703128700465
SSP4,1,1974,16.48703128700465
SSP5,1,1974,16.48703128700465
SSP1,1,1975,16.302512469771088
SSP2,1,1975,16.302512469771088
SSP3,1,1975,16.302512469771088
SSP4,1,1975,16.302512469771088
SSP5,1,1975,16.302512469771088
SSP1,1,1976,17.022459851288136
SSP2,1,1976,17.022459851288136
SSP3,1,1976,17.022459851288136
SSP4,1,1976,17.022459851288136
SSP5,1,1976,17.022459851288136
SSP1,1,1977,17.64358832214802
SSP2,1,1977,17.64358832214802
SSP3,1,1977,17.64358832214802
SSP4,1,1977,17.64358832214802
SSP5,1,1977,17.64358832214802
SSP1,1,1978,18.451417352680473
SSP2,1,1978,18.451417352680473
SSP3,1,1978,18.451417352680473
SSP4,1,1978,18.451417352680473
SSP5,1,1978,18.451417352680473
SSP1,1,1979,18.861864366500722
SSP2,1,1979,18.861864366500722
SSP3,1,1979,18.861864366500722
SSP4,1,1979,18.861864366500722
SSP5,1,1979,18.861864366500722
SSP1,1,1980,18.64932044948325
SSP2,1,1980,18.64932044948325
SSP3,1,1980,18.64932044948325
SSP4,1,1980,18.64932044948325
SSP5,1,1980,18.64932044948325
SSP1,1,1981,18.95179788023123
SSP2,1,1981,18.95179788023123
SSP3,1,1981,18.95179788023123
SSP4,1,1981,18.95179788023123
SSP5,1,1981,18.95179788023123
SSP1,1,1982,18.415737427940126
SSP2,1,1982,18.415737427940126
SSP3,1,1982,18.415737427940126
SSP4,1,1982,18.415737427940126
SSP5,1,1982,18.415737427940126
SSP1,1,1983,19.07896971746284
SSP2,1,1983,19.07896971746284
SSP3,1,1983,19.07896971746284
SSP4,1,1983,19.07896971746284
SSP5,1,1983,19.07896971746284
SSP1,1,1984,20.270885527956054
SSP2,1,1984,20.270885527956054
SSP3,1,1984,20.270885527956054
SSP4,1,1984,20.270885527956054
SSP5,1,1984,20.270885527956054
SSP1,1,1985,20.93158814957581
SSP2,1,1985,20.93158814957581
SSP3,1,1985,20.93158814957581
SSP4,1,1985,20.93158814957581
SSP5,1,1985,20.93158814957581
SSP1,1,1986,21.466915238802105
SSP2,1,1986,21.466915238802105
SSP3,1,1986,21.466915238802105
SSP4,1,1986,21.466915238802105
SSP5,1,1986,21.466915238802105
SSP1,1,1987,22.00630421331468
SSP2,1,1987,22.00630421331468
SSP3,1,1987,22.00630421331468
SSP4,1,1987,22.00630421331468
SSP5,1,1987,22.00630421331468
SSP1,1,1988,22.719522682125326
SSP2,1,1988,22.719522682125326
SSP3,1,1988,22.719522682125326
SSP4,1,1988,22.719522682125326
SSP5,1,1988,22.719522682125326
SSP1,1,1989,23.335253278644835
SSP2,1,1989,23.335253278644835
SSP3,1,1989,23.335253278644835
SSP4,1,1989,23.335253278644835
SSP5,1,1989,23.335253278644835
SSP1,1,1990,23.549855807130793
