# aggregated regional data for CDIAC carbon emissions and energy balances to find global ratios
fuel,year,value
coal,1971,26.398075230757982
coal,1972,26.02485663230193
coal,1973,25.690085578465396
coal,1974,25.6245687505607
coal,1975,25.749343771184442
coal,1976,25.820495854035663
coal,1977,25.754026406628263
coal,1978,26.102173297769532
coal,1979,25.93074623520861
coal,1980,26.175926160620328
coal,1981,25.91826467977158
coal,1982,26.37039768240961
coal,1983,26.484946650323582
coal,1984,26.496980390075763
coal,1985,27.581063724980805
coal,1986,27.680542086294484
coal,1987,27.47213995693131
coal,1988,27.514157045503087
coal,1989,27.216689964664493
coal,1990,25.98192585476526
coal,1991,25.73642207863753
coal,1992,26.231657022934353
coal,1993,26.569399689404968
coal,1994,26.574657121818234
coal,1995,26.24170967744373
coal,1996,26.794229271073416
coal,1997,26.641581139164288
coal,1998,25.356398926415068
coal,1999,25.738692487397604
coal,2000,25.20228330541188
coal,2001,24.87386104180025
coal,2002,24.933106162014457
coal,2003,25.150990025722308
coal,2004,25.471449284085768
coal,2005,24.92466318540861
coal,2006,24.812557023941764
coal,2007,24.48084253292496
coal,2008,24.78485736635887
coal,2009,24.786892353146023
gas,1971,13.943604732818011
gas,1972,14.028097730242733
gas,1973,14.076784014930416
gas,1974,14.052032831921814
gas,1975,14.291791946027383
gas,1976,14.367723255414274
gas,1977,14.244802683556617
gas,1978,14.452393407758063
gas,1979,14.4143868647283
gas,1980,14.516574803534349
gas,1981,14.44697716833658
gas,1982,14.102080625389569
gas,1983,14.129595304023077
gas,1984,14.20010249908593
gas,1985,14.319254396910482
gas,1986,13.7496762735436
gas,1987,14.121382162868912
gas,1988,14.199260618416039
gas,1989,14.193521653742092
gas,1990,14.311963466399716
gas,1991,14.67127234725149
gas,1992,15.143420231012502
gas,1993,15.255764492188735
gas,1994,15.196770343029218
gas,1995,15.249215491444733
gas,1996,15.282159144483874
gas,1997,15.112338977787589
gas,1998,15.111274753655948
gas,1999,15.199426333801995
gas,2000,15.05361082072328
gas,2001,14.9462004021943
gas,2002,14.935371477707124
gas,2003,14.919804755003415
gas,2004,14.922238028336754
gas,2005,14.918312668712996
gas,2006,14.828957237617916
gas,2007,14.936918582921194
gas,2008,14.865251344708268
gas,2009,14.9038322359707
refined liquids,1971,21.175271569555893
refined liquids,1972,21.271534631220444
refined liquids,1973,21.328324491358075
refined liquids,1974,21.320103347801215
refined liquids,1975,20.94734655758927
refined liquids,1976,20.757128947893666
refined liquids,1977,20.7557734456749
refined liquids,1978,20.842656885457018
refined liquids,1979,20.944940237014684
refined liquids,1980,20.978644527076693
refined liquids,1981,20.76190199411228
refined liquids,1982,20.800180889956497
refined liquids,1983,20.845707285886665
refined liquids,1984,20.67176644637194
refined liquids,1985,20.74295702897769
refined liquids,1986,20.860883629410857
refined liquids,1987,20.918498277062408
refined liquids,1988,20.708333226361976
refined liquids,1989,20.776558303836936
refined liquids,1990,20.5251372196149
refined liquids,1991,20.617393738394416
refined liquids,1992,20.434439549241855
refined liquids,1993,20.66068940620285
refined liquids,1994,20.441037100797637
refined liquids,1995,20.29498455823761
refined liquids,1996,20.233227949076024
refined liquids,1997,19.79288823524727
refined liquids,1998,19.8448795352291
refined liquids,1999,19.747693173853428
refined liquids,2000,20.193622431175008
refined liquids,2001,20.10197176245901
refined liquids,2002,20.095843046822665
refined liquids,2003,20.24963914954837
refined liquids,2004,20.182553483156884
refined liquids,2005,20.091938630283945
refined liquids,2006,20.024876112938422
refined liquids,2007,19.93539955087979
refined liquids,2008,20.06138557621654
refined liquids,2009,20.108194384619427
