# EIA international shipping data converted to EJ, aggregated by country, 
# adding USSR data to Russia
Country,year,value,iso,GCAM_region_ID
Martinique,1986,4.4828130630630635e-4,mtq,9
Mauritania,1986,6.003123659517426e-4,mrt,5
Mauritius,1986,0.005420353154012996,mus,2
Mexico,1986,0.020932814082010965,mex,20
Micronesia,1986,0,fsm,29
Moldova,1986,0,mda,14
Mongolia,1986,0,mng,10
Montenegro,1986,0,mne,15
Montserrat,1986,0,msr,9
Morocco,1986,4.01232200195638e-4,mar,3
Mozambique,1986,0.002801457707774799,moz,4
Namibia,1986,0,nam,4
Nauru,1986,2.001041219839142e-4,nru,29
Nepal,1986,0,npl,27
Netherlands,1986,0.39663881908919646,nld,13
Netherlands Antilles,1986,0.08173021510820472,ant,9
New Caledonia,1986,4.002082439678284e-4,ncl,29
New Zealand,1986,0.005619140074088834,nzl,6
Nicaragua,1986,0,nic,9
Niger,1986,0,ner,5
Nigeria,1986,0.012871562441127454,nga,5
Niue,1986,0,niu,29
Norway,1986,0.013247734153926043,nor,16
Oman,1986,0.03938385632079801,omn,21
Pakistan,1986,0.0063234104373475365,pak,22
Palestinian Territories,1986,0,pse,21
Panama,1986,0.011631277432794726,pan,9
Papua New Guinea,1986,8.004164879356568e-4,png,29
Paraguay,1986,2.025870956536966e-4,pry,26
Peru,1986,0.0032737755452503445,per,26
Philippines,1986,0.0032104368819662835,phl,29
Poland,1986,0.020923800382822502,pol,12
Portugal,1986,0.010822448158949834,prt,13
Puerto Rico,1986,0.0018970832225321836,pri,1
Qatar,1986,0.040663801605559984,qat,21
Reunion,1986,4.002082439678284e-4,reu,2
Romania,1986,0,rom,12
Rwanda,1986,4.002082439678284e-4,rwa,2
Saint Helena,1986,0,shn,13
Saint Kitts and Nevis,1986,0,kna,9
Saint Lucia,1986,0,lca,9
Saint Pierre and Miquelon,1986,0.001000520609919571,spm,13
Saint Vincent/Grenadines,1986,0,vct,9
Samoa,1986,0,wsm,29
Sao Tome and Principe,1986,0,stp,5
Saudi Arabia,1986,0.15112368059379755,sau,21
Senegal,1986,0.005763359261104269,sen,5
Serbia,1986,0,srb,15
Seychelles,1986,0.0026232821131765816,syc,29
Sierra Leone,1986,0.003874087911202086,sle,5
Singapore,1986,0.3228346501340482,sgp,29
Slovakia,1986,0,svk,12
Slovenia,1986,0,svn,12
Solomon Islands,1986,1.7389048200402147e-4,slb,29
Somalia,1986,0.0036018741957104562,som,2
South Africa,1986,0.1283971403732821,zaf,24
Spain,1986,0.11871041831207885,esp,13
Sri Lanka,1986,0.019971953748520635,lka,27
Sudan,1986,2.001041219839142e-4,sdn,2
Suriname,1986,2.001041219839142e-4,sur,25
Swaziland,1986,0,swz,4
Sweden,1986,0.026199818974470452,swe,13
Switzerland,1986,0,che,16
Syria,1986,0.012806663806970509,syr,21
Taiwan,1986,0.0382060662935053,twn,30
Tajikistan,1986,0,tjk,10
Tanzania,1986,0.0011207032657657658,tza,4
Thailand,1986,0.04874608521121658,tha,29
Timor-Leste (East Timor),1986,0,tls,29
Togo,1986,8.1642481769437e-6,tgo,5
Tonga,1986,0,ton,29
Trinidad and Tobago,1986,0.015209115097335942,tto,9
Tunisia,1986,8.178255465482574e-5,tun,3
Turkey,1986,0.007364192236975582,tur,15
Turkmenistan,1986,0,tkm,10
Turks and Caicos Islands,1986,0,tca,13
Tuvalu,1986,0,tuv,29
U.S. Pacific Islands,1986,2.001041219839142e-4,mhl,29
Uganda,1986,0,uga,2
Ukraine,1986,0,ukr,14
United Arab Emirates,1986,0.2880177347354057,are,21
United Kingdom,1986,0.08612890031217546,gbr,13
United States,1986,0,usa,1
Uruguay,1986,0.004770650523814699,ury,26
Uzbekistan,1986,0,uzb,10
Vanuatu,1986,8.965626126126127e-4,vut,29
Venezuela,1986,0.027672056508586333,ven,25
Vietnam,1986,0,vnm,29
"Virgin Islands,  U.S.",1986,0.01909161579444726,vir,1
"Virgin Islands, British",1986,0,vgb,13
