# Scales historical SSP GDP data to GCAM3 GDP data.
# Calculates future GDP based on ratio of GCAM3 future to 2010 value.
GCAM_region_ID,year,value
1,1971,3277979.4100720007
1,1972,3450941.6047883234
1,1973,3645799.0719709652
1,1974,3627048.768817834
1,1975,3619363.9624668993
1,1976,3814238.767237451
1,1977,3990524.4915347593
1,1978,4212739.153869216
1,1979,4347321.807316426
1,1980,4339065.122864525
1,1981,4451178.994855439
1,1982,4366236.19106762
1,1983,4566282.8462969875
1,1984,4897340.3322405815
1,1985,5104550.483431787
1,1986,5284299.7192282695
1,1987,5468049.73494164
1,1988,5698559.503384918
1,1989,5908557.045987586
1,1990,6019984.147827845
1,1991,6016485.830405192
1,1992,6230812.807379931
1,1993,6402722.585627066
1,1994,6661308.637093177
1,1995,6843290.960717076
1,1996,7102323.598221465
1,1997,7421205.340637617
1,1998,7752013.715134909
1,1999,8115603.510743047
1,2000,8447226.325266723
1,2001,8532911.478371855
1,2002,8684758.932028389
1,2003,8926726.460187167
1,2004,9267904.847763281
1,2005,9574155.303488849
1,2006,9826629.605786271
1,2007,9999388.445346732
1,2008,9969177.00568567
1,2009,9693026.581818426
1,2010,9936527.285377078
1,2011,10094383.497230513
1,2012,10317466.755541394
1,2013,10489241.915776482
1,2014,10756306.342573268
1,2015,11061574.606231362
1,2016,11299631.529819252
1,2017,11537688.45340714
1,2018,11775745.376995027
1,2019,12013802.30058292
1,2020,12251859.224170808
1,2021,12511140.747771025
1,2022,12770422.271371242
1,2023,13029703.794971459
1,2024,13288985.318571676
1,2025,13548266.842171893
1,2026,13812258.088061666
1,2027,14076249.333951438
1,2028,14340240.579841215
1,2029,14604231.82573099
1,2030,14868223.071620764
1,2031,15150148.281862041
1,2032,15432073.49210332
1,2033,15713998.702344595
1,2034,15995923.912585873
1,2035,16277849.122827148
1,2036,16614357.752092376
1,2037,16950866.38135761
1,2038,17287375.01062284
1,2039,17623883.639888067
1,2040,17960392.269153297
1,2041,18309857.776333034
1,2042,18659323.283512764
1,2043,19008788.790692497
1,2044,19358254.29787223
1,2045,19707719.805051964
1,2046,20136756.995805044
1,2047,20565794.18655813
1,2048,20994831.37731121
1,2049,21423868.568064295
1,2050,21852905.758817382
1,2051,22253478.951104317
1,2052,22654052.143391255
1,2053,23054625.335678194
1,2054,23455198.527965132
1,2055,23855771.72025207
1,2056,24332646.526924413
1,2057,24809521.33359676
1,2058,25286396.1402691
1,2059,25763270.946941443
1,2060,26240145.753613792
1,2061,26724527.32288739
1,2062,27208908.892160997
1,2063,27693290.461434603
1,2064,28177672.030708198
1,2065,28662053.5999818
1,2066,29237215.580548447
1,2067,29812377.561115094
1,2068,30387539.541681733
1,2069,30962701.522248376
1,2070,31537863.502815016
1,2071,32137252.7884345
1,2072,32736642.074053966
1,2073,33336031.359673448
1,2074,33935420.64529292
1,2075,34534809.93091239
1,2076,35184792.739817075
1,2077,35834775.54872176
1,2078,36484758.35762643
1,2079,37134741.16653111
1,2080,37784723.97543578
1,2081,38448301.22291424
1,2082,39111878.47039272
1,2083,39775455.717871174
1,2084,40439032.96534964
1,2085,41102610.212828115
1,2086,41898183.083251454
1,2087,42693755.95367481
1,2088,43489328.82409816
1,2089,44284901.69452152
1,2090,45080474.56494488
1,2091,45968267.49976286
1,2092,46856060.434580885
1,2093,47743853.36939888
1,2094,48631646.30421689
1,2095,49519439.239034876
1,2096,50466463.61574776
1,2097,51413487.99246064
1,2098,52360512.369173504
1,2099,53307536.74588638
1,2100,54254561.122599244
2,1971,25058.458912576436
2,1972,25517.306798613918
2,1973,26062.732788261324
2,1974,27402.835319601658
2,1975,28892.70566394325
2,1976,31096.62267315576
2,1977,32726.882555689033
2,1978,32633.101852586908
2,1979,33231.0700614161
2,1980,35014.65714884022
2,1981,36153.20991593819
2,1982,37243.384353881316
2,1983,38334.77713306035
2,1984,37837.37758259815
2,1985,37254.29878898325
2,1986,39429.892046700894
2,1987,42792.36200252152
2,1988,44175.1111733476
2,1989,46350.320197872185
2,1990,46849.67103177839
2,1991,47751.183959195194
2,1992,48634.37933115719
2,1993,50444.84117268963
2,1994,50844.470088395225
2,1995,53724.87254256127
2,1996,56940.44298684625
2,1997,59973.74460564821
2,1998,61931.11071563534
2,1999,64109.67245839674
2,2000,66834.30601496575
2,2001,70573.70491958791
2,2002,72734.93684211513
2,2003,76084.94795198167
2,2004,80486.41530032104
2,2005,85953.17129395728
2,2006,93456.53625813426
2,2007,101932.8264869203
2,2008,108205.16097629353
2,2009,112615.89679977653
2,2010,119401.75782955706
2,2011,124170.46497393612
2,2012,128861.33978420022
2,2013,135960.85417883116
2,2014,143047.20629917565
2,2015,151679.3865406362
2,2016,184138.64614867073
2,2017,192350.0598761692
2,2018,200475.30671084666
2,2019,208527.55091237032
2,2020,216517.4051011154
2,2021,225650.20915308307
2,2022,234693.33660054795
2,2023,243660.67507815
2,2024,252563.38539831105
2,2025,261410.5394970258
2,2026,272031.3531498477
2,2027,282509.8923345212
2,2028,292867.05070140853
2,2029,303119.82171774696
2,2030,313282.16814269155
2,2031,326129.1949816184
2,2032,338806.5300837921
2,2033,351337.6070360871
2,2034,363741.7345508464
2,2035,376034.9658060182
2,2036,391519.00208413485
2,2037,406772.5203015402
2,2038,421826.73627580615
2,2039,436707.4730867478
2,2040,451436.27740191837
2,2041,471224.1717550854
2,2042,490763.85255244526
2,2043,510088.38560067024
2,2044,529225.2132605319
2,2045,548197.3011546725
2,2046,573066.7863007613
2,2047,597686.60764114
2,2048,622089.4021210255
2,2049,646302.3556542011
2,2050,670348.295549605
2,2051,702940.856913711
2,2052,735333.387395677
2,2053,767551.6409139545
2,2054,799617.1322373181
2,2055,831547.9747276099
2,2056,872546.6733435809
2,2057,913373.2995341993
2,2058,954049.578124947
2,2059,994593.7245075514
2,2060,1035021.1257757848
2,2061,1086206.8994533943
2,2062,1137252.7875286902
2,2063,1188175.9625470696
2,2064,1238990.8967196783
2,2065,1289709.8726218557
2,2066,1352752.7639758158
2,2067,1415686.9491366274
2,2068,1478525.26747615
2,2069,1541278.6129984583
2,2070,1603956.2893354427
2,2071,1678609.0616686584
2,2072,1753161.2102965803
2,2073,1827624.0853537188
2,2074,1902007.3918045543
2,2075,1976319.4770983043
2,2076,2062370.6427975395
2,2077,2148321.9995016023
2,2078,2234184.246801877
2,2079,2319966.607715157
2,2080,2405677.074903349
