# L102.gdp_mil90usd_GCAM3_ctry_Y divided by population from L101.Pop_thous_GCAM3_ctry_Y
iso,year,value
afg,1971,0.20853830900817108
alb,1971,1.2509146244357006
dza,1971,1.5242546983509164
ago,1971,1.9359984988679293
arg,1971,5.100279972224135
arm,1971,0.968115941109707
aus,1971,17.242868719414716
aut,1971,12.92398730059561
aze,1971,2.1988257584711017
bhs,1971,12.872913891396818
bhr,1971,18.395617522510484
bgd,1971,0.21235870044950192
brb,1971,6.675907794102787
blr,1971,1.1945601926640983
bel,1971,13.764236987772582
blz,1971,0.8831437471048104
ben,1971,0.34281809003941854
btn,1971,0.23718974221189826
bol,1971,0.9447372035436445
bih,1971,0.19432053120351317
bwa,1971,0.6480919918368777
bra,1971,3.3411897845154472
brn,1971,25.8669215528129
bgr,1971,1.8395583942961626
bfa,1971,0.18009778790800893
mmr,1971,0.27832036611509947
bdi,1971,0.1724718291681882
khm,1971,0.0958553969549839
cmr,1971,0.5419444790536884
can,1971,16.48574411761236
cpv,1971,0.2714106750471966
caf,1971,0.32498137869338917
tcd,1971,0.3918961330715151
chl,1971,3.0138640136908603
chn,1971,0.15492135620945402
col,1971,1.925555388483939
cod,1971,0.6775776039044779
cog,1971,1.135042517227789
cri,1971,2.37484266856465
civ,1971,1.2155304480658535
hrv,1971,3.365056657849127
cub,1971,1.5768446068042707
cyp,1971,2.9714719075424405
cze,1971,5.329490029022821
dnk,1971,20.292704235090724
dji,1971,1.0676632118572802
dom,1971,1.0567970281108514
ecu,1971,1.6473263753169876
egy,1971,0.5259244185277938
slv,1971,1.7033390017928938
gnq,1971,0.2906826481278995
eri,1971,0.3746286376635071
est,1971,4.479257898327739
eth,1971,0.1609709496025823
fji,1971,1.5716481815790637
fin,1971,12.141114192964292
fra,1971,14.17625526769934
gab,1971,4.826053040130529
gmb,1971,0.27758057477032144
geo,1971,1.4001746029877205
deu,1971,12.821826757578554
gha,1971,0.7087384631217181
grc,1971,9.304931274800204
gtm,1971,1.262087204729724
gin,1971,0.23041781086703955
gnb,1971,0.31188872665041784
guy,1971,1.4227946415558728
hti,1971,0.6564441413703035
hnd,1971,0.8612847488035518
hkg,1971,4.056813611225298
hun,1971,3.8091153703477
isl,1971,11.734576409817407
ind,1971,0.24658888528769143
idn,1971,0.41661226802899776
irn,1971,2.6307473266131414
irq,1971,1.3734640573695607
irl,1971,8.235431024411161
isr,1971,9.5938939505341
ita,1971,11.47843937688174
jam,1971,3.046424974246672
jpn,1971,12.083942504571425
jor,1971,0.7588012895802163
kaz,1971,2.7399008518712793
ken,1971,0.3762396484078528
kwt,1971,53.104068054283935
kgz,1971,0.5085594891365199
lao,1971,0.29102145902431215
lva,1971,3.1548738818518967
lbn,1971,2.416297705668215
lso,1971,0.22141436418406724
lbr,1971,0.6338737211241043
lby,1971,3.8907048876089334
ltu,1971,3.88501428570062
lux,1971,23.438491420891058
mac,1971,4.8926074290568495
mkd,1971,2.0453807505765256
mdg,1971,0.4928082691489005
mwi,1971,0.2015884954034055
mys,1971,1.288714700158258
mdv,1971,0.48669422371720006
mli,1971,0.24802085694362333
mlt,1971,2.352817898965128
mrt,1971,0.6588457216544605
mus,1971,1.0122485117845226
mex,1971,3.483772706040731
mda,1971,1.0132508223869023
mng,1971,0.6304560531018659
mar,1971,0.7646592499801365
moz,1971,0.12199243783121064
nam,1971,3.10453642593561
npl,1971,0.17727834287718278
nld,1971,15.431203143781264
nzl,1971,13.385419458300674
nic,1971,1.4659307213456
ner,1971,0.40259602832724933
nga,1971,1.1576800861841883
nor,1971,22.29586727973908
omn,1971,5.093943568051389
pak,1971,0.2976547697452551
pan,1971,2.6142967489435116
png,1971,0.725884910116522
pry,1971,0.8785950089254286
per,1971,2.190110765988372
phl,1971,0.8303015540198211
pol,1971,2.5653384308966602
prt,1971,5.9144542536104145
pri,1971,8.210640143432286
zaf,1971,3.9563322110677754
rom,1971,2.636037177439242
rus,1971,4.428920787568461
rwa,1971,0.2069703191910209
wsm,1971,1.4662280683485638
stp,1971,0.6210071420395052
sau,1971,9.450936026551135
sen,1971,0.6147634232584264
srb,1971,1.8190110880077561
sle,1971,0.3120756712885927
sgp,1971,4.621677994200571
svk,1971,4.707570698329436
svn,1971,5.703105405424137
slb,1971,0.39699146515212447
kor,1971,1.4151751733954265
esp,1971,9.09338850269358
lka,1971,0.39795820950123295
lca,1971,1.7692336858012745
vct,1971,1.223575334124765
sdn,1971,0.7181637707812755
sur,1971,4.552293333172957
swz,1971,0.8674728010837373
swe,1971,16.62493479479724
che,1971,32.696815088307375
syr,1971,0.6922066779872094
twn,1971,1.419823850578319
tjk,1971,1.152959865265509
tza,1971,0.21564843606841042
tha,1971,0.5820189781069037
tgo,1971,0.36252311707121765
ton,1971,1.592255901179565
tto,1971,4.561289129325102
tun,1971,0.8574806671962093
tur,1971,2.7575885727512364
tkm,1971,1.285197074898262
uga,1971,0.15918985844298353
ukr,1971,1.7288055454180602
are,1971,91.65196500039927
gbr,1971,11.036320634014425
usa,1971,16.015814718654546
ury,1971,3.6218515199955523
uzb,1971,0.5755010756959982
vut,1971,1.564679054776899
ven,1971,9.425262795841709
vnm,1971,0.24374478555552598
yem,1971,0.7709831024556257
zmb,1971,1.033192299086768
afg,1972,0.21069660930245865
alb,1972,1.259654078805157
dza,1972,1.8955367162769745
ago,1972,1.9157247938458573
arg,1972,5.105585917081313
arm,1972,0.9727708460594743
aus,1972,17.618902299244656
aut,1972,13.657330744386382
aze,1972,2.2206694974122816
bhs,1972,12.156870351531053
