# For the SSP scenarios, SSP GDP projections are scaled to match 
# historical values in the base year (2010).  For the gSSP scenarios 
# IMF growth projections are applied from 2010-2020, and the SSP projections 
# are scaled to match the 2020 values resulting from this process.
GCAM_region_ID,year,value,scenario
1,1971,3277979.4100720007,SSP1
1,1971,3277979.4100720007,SSP2
1,1971,3277979.4100720007,SSP3
1,1971,3277979.4100720007,SSP4
1,1971,3277979.4100720007,SSP5
1,1972,3450941.6047883234,SSP1
1,1972,3450941.6047883234,SSP2
1,1972,3450941.6047883234,SSP3
1,1972,3450941.6047883234,SSP4
1,1972,3450941.6047883234,SSP5
1,1973,3645799.0719709652,SSP1
1,1973,3645799.0719709652,SSP2
1,1973,3645799.0719709652,SSP3
1,1973,3645799.0719709652,SSP4
1,1973,3645799.0719709652,SSP5
1,1974,3627048.768817834,SSP1
1,1974,3627048.768817834,SSP2
1,1974,3627048.768817834,SSP3
1,1974,3627048.768817834,SSP4
1,1974,3627048.768817834,SSP5
1,1975,3619363.9624668993,SSP1
1,1975,3619363.9624668993,SSP2
1,1975,3619363.9624668993,SSP3
1,1975,3619363.9624668993,SSP4
1,1975,3619363.9624668993,SSP5
1,1976,3814238.767237451,SSP1
1,1976,3814238.767237451,SSP2
1,1976,3814238.767237451,SSP3
1,1976,3814238.767237451,SSP4
1,1976,3814238.767237451,SSP5
1,1977,3990524.4915347593,SSP1
1,1977,3990524.4915347593,SSP2
1,1977,3990524.4915347593,SSP3
1,1977,3990524.4915347593,SSP4
1,1977,3990524.4915347593,SSP5
1,1978,4212739.153869216,SSP1
1,1978,4212739.153869216,SSP2
1,1978,4212739.153869216,SSP3
1,1978,4212739.153869216,SSP4
1,1978,4212739.153869216,SSP5
1,1979,4347321.807316426,SSP1
1,1979,4347321.807316426,SSP2
1,1979,4347321.807316426,SSP3
1,1979,4347321.807316426,SSP4
1,1979,4347321.807316426,SSP5
1,1980,4339065.122864525,SSP1
1,1980,4339065.122864525,SSP2
1,1980,4339065.122864525,SSP3
1,1980,4339065.122864525,SSP4
1,1980,4339065.122864525,SSP5
1,1981,4451178.994855439,SSP1
1,1981,4451178.994855439,SSP2
1,1981,4451178.994855439,SSP3
1,1981,4451178.994855439,SSP4
1,1981,4451178.994855439,SSP5
1,1982,4366236.19106762,SSP1
1,1982,4366236.19106762,SSP2
1,1982,4366236.19106762,SSP3
1,1982,4366236.19106762,SSP4
1,1982,4366236.19106762,SSP5
1,1983,4566282.8462969875,SSP1
1,1983,4566282.8462969875,SSP2
1,1983,4566282.8462969875,SSP3
1,1983,4566282.8462969875,SSP4
1,1983,4566282.8462969875,SSP5
1,1984,4897340.3322405815,SSP1
1,1984,4897340.3322405815,SSP2
1,1984,4897340.3322405815,SSP3
1,1984,4897340.3322405815,SSP4
1,1984,4897340.3322405815,SSP5
1,1985,5104550.483431787,SSP1
1,1985,5104550.483431787,SSP2
1,1985,5104550.483431787,SSP3
1,1985,5104550.483431787,SSP4
1,1985,5104550.483431787,SSP5
1,1986,5284299.7192282695,SSP1
1,1986,5284299.7192282695,SSP2
1,1986,5284299.7192282695,SSP3
1,1986,5284299.7192282695,SSP4
1,1986,5284299.7192282695,SSP5
1,1987,5468049.73494164,SSP1
1,1987,5468049.73494164,SSP2
1,1987,5468049.73494164,SSP3
1,1987,5468049.73494164,SSP4
1,1987,5468049.73494164,SSP5
1,1988,5698559.503384918,SSP1
1,1988,5698559.503384918,SSP2
1,1988,5698559.503384918,SSP3
1,1988,5698559.503384918,SSP4
1,1988,5698559.503384918,SSP5
1,1989,5908557.045987586,SSP1
1,1989,5908557.045987586,SSP2
1,1989,5908557.045987586,SSP3
1,1989,5908557.045987586,SSP4
1,1989,5908557.045987586,SSP5
1,1990,6019984.147827845,SSP1
1,1990,6019984.147827845,SSP2
1,1990,6019984.147827845,SSP3
1,1990,6019984.147827845,SSP4
1,1990,6019984.147827845,SSP5
1,1991,6016485.830405192,SSP1
1,1991,6016485.830405192,SSP2
1,1991,6016485.830405192,SSP3
1,1991,6016485.830405192,SSP4
1,1991,6016485.830405192,SSP5
1,1992,6230812.807379931,SSP1
1,1992,6230812.807379931,SSP2
1,1992,6230812.807379931,SSP3
1,1992,6230812.807379931,SSP4
1,1992,6230812.807379931,SSP5
1,1993,6402722.585627066,SSP1
1,1993,6402722.585627066,SSP2
1,1993,6402722.585627066,SSP3
1,1993,6402722.585627066,SSP4
1,1993,6402722.585627066,SSP5
1,1994,6661308.637093177,SSP1
1,1994,6661308.637093177,SSP2
1,1994,6661308.637093177,SSP3
1,1994,6661308.637093177,SSP4
1,1994,6661308.637093177,SSP5
1,1995,6843290.960717076,SSP1
1,1995,6843290.960717076,SSP2
1,1995,6843290.960717076,SSP3
1,1995,6843290.960717076,SSP4
1,1995,6843290.960717076,SSP5
1,1996,7102323.598221465,SSP1
1,1996,7102323.598221465,SSP2
1,1996,7102323.598221465,SSP3
1,1996,7102323.598221465,SSP4
1,1996,7102323.598221465,SSP5
1,1997,7421205.340637617,SSP1
1,1997,7421205.340637617,SSP2
1,1997,7421205.340637617,SSP3
1,1997,7421205.340637617,SSP4
1,1997,7421205.340637617,SSP5
1,1998,7752013.715134909,SSP1
1,1998,7752013.715134909,SSP2
1,1998,7752013.715134909,SSP3
1,1998,7752013.715134909,SSP4
1,1998,7752013.715134909,SSP5
1,1999,8115603.510743047,SSP1
1,1999,8115603.510743047,SSP2
1,1999,8115603.510743047,SSP3
1,1999,8115603.510743047,SSP4
1,1999,8115603.510743047,SSP5
1,2000,8447226.325266723,SSP1
