# Values are calculated using L1321.in_EJ_R_cement_F_Y then added GCAM region information and supplysector, subsector, technology, and input information
region,supplysector,subsector,stub.technology,year,minicam.energy.input,calibrated.value,share.weight.year,subs.share.weight,tech.share.weight
Africa_Northern,process heat cement,biomass,biomass,1990,delivered biomass,0.0058903,1990,1,1
Africa_Northern,process heat cement,biomass,biomass,2005,delivered biomass,0.0118024,2005,1,1
Africa_Northern,process heat cement,biomass,biomass,2010,delivered biomass,0.0770895,2010,1,1
Africa_Northern,process heat cement,biomass,biomass,2015,delivered biomass,0.0898329,2015,1,1
Africa_Northern,process heat cement,coal,coal,1975,delivered coal,0.0090183,1975,1,1
Africa_Northern,process heat cement,coal,coal,1990,delivered coal,0.0341636,1990,1,1
Africa_Northern,process heat cement,coal,coal,2005,delivered coal,0.0684541,2005,1,1
Africa_Northern,process heat cement,coal,coal,2010,delivered coal,0.034044,2010,1,1
Africa_Northern,process heat cement,coal,coal,2015,delivered coal,0.0213007,2015,1,1
Africa_Northern,process heat cement,gas,gas,1975,wholesale gas,0.0090183,1975,1,1
Africa_Northern,process heat cement,gas,gas,1990,wholesale gas,0.0341636,1990,1,1
Africa_Northern,process heat cement,gas,gas,2005,wholesale gas,0.0684541,2005,1,1
Africa_Northern,process heat cement,gas,gas,2010,wholesale gas,0.0947904,2010,1,1
Africa_Northern,process heat cement,gas,gas,2015,wholesale gas,0.0947904,2015,1,1
Africa_Northern,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0.0115061,1975,1,1
Africa_Northern,process heat cement,refined liquids,refined liquids,1990,refined liquids industrial,0.043588,1990,1,1
Africa_Northern,process heat cement,refined liquids,refined liquids,2005,refined liquids industrial,0.0873379,2005,1,1
Africa_Northern,process heat cement,refined liquids,refined liquids,2010,refined liquids industrial,0.1209394,2010,1,1
Africa_Northern,process heat cement,refined liquids,refined liquids,2015,refined liquids industrial,0.1209394,2015,1,1
Africa_Southern,process heat cement,biomass,biomass,1975,delivered biomass,0.0011044,1975,1,1
Africa_Southern,process heat cement,biomass,biomass,1990,delivered biomass,3.714e-4,1990,1,1
Africa_Southern,process heat cement,biomass,biomass,2005,delivered biomass,7.027e-4,2005,1,1
Africa_Southern,process heat cement,biomass,biomass,2010,delivered biomass,8.65e-4,2010,1,1
Africa_Southern,process heat cement,biomass,biomass,2015,delivered biomass,8.65e-4,2015,1,1
Africa_Southern,process heat cement,coal,coal,1975,delivered coal,0.0029057,1975,1,1
Africa_Southern,process heat cement,coal,coal,1990,delivered coal,0.0021539,1990,1,1
Africa_Southern,process heat cement,coal,coal,2005,delivered coal,0.0040759,2005,1,1
Africa_Southern,process heat cement,coal,coal,2010,delivered coal,0.0050172,2010,1,1
Africa_Southern,process heat cement,coal,coal,2015,delivered coal,0.0050172,2015,1,1
Africa_Southern,process heat cement,gas,gas,1975,wholesale gas,0.0023023,1975,1,1
Africa_Southern,process heat cement,gas,gas,1990,wholesale gas,0.0021539,1990,1,1
Africa_Southern,process heat cement,gas,gas,2005,wholesale gas,0.0040759,2005,1,1
Africa_Southern,process heat cement,gas,gas,2010,wholesale gas,0.0050172,2010,1,1
Africa_Southern,process heat cement,gas,gas,2015,wholesale gas,0.0050172,2015,1,1
Africa_Southern,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0.0037073,1975,1,1
Africa_Southern,process heat cement,refined liquids,refined liquids,1990,refined liquids industrial,0.0027481,1990,1,1
Africa_Southern,process heat cement,refined liquids,refined liquids,2005,refined liquids industrial,0.0052003,2005,1,1
Africa_Southern,process heat cement,refined liquids,refined liquids,2010,refined liquids industrial,0.0064012,2010,1,1
Africa_Southern,process heat cement,refined liquids,refined liquids,2015,refined liquids industrial,0.0064012,2015,1,1
Africa_Western,process heat cement,biomass,biomass,1975,delivered biomass,7.281e-4,1975,1,1
Africa_Western,process heat cement,biomass,biomass,1990,delivered biomass,0.0014606,1990,1,1
Africa_Western,process heat cement,biomass,biomass,2005,delivered biomass,0.0024704,2005,1,1
Africa_Western,process heat cement,biomass,biomass,2010,delivered biomass,0.0027707,2010,1,1
Africa_Western,process heat cement,biomass,biomass,2015,delivered biomass,0.0027707,2015,1,1
Africa_Western,process heat cement,coal,coal,1975,delivered coal,0.0042228,1975,1,1
Africa_Western,process heat cement,coal,coal,1990,delivered coal,0.0084713,1990,1,1
Africa_Western,process heat cement,coal,coal,2005,delivered coal,0.0118044,2005,1,1
Africa_Western,process heat cement,coal,coal,2010,delivered coal,0.0160701,2010,1,1
Africa_Western,process heat cement,coal,coal,2015,delivered coal,0.0160701,2015,1,1
Africa_Western,process heat cement,gas,gas,1975,wholesale gas,0.0042228,1975,1,1
Africa_Western,process heat cement,gas,gas,1990,wholesale gas,0.0084713,1990,1,1
Africa_Western,process heat cement,gas,gas,2005,wholesale gas,0.0121756,2005,1,1
Africa_Western,process heat cement,gas,gas,2010,wholesale gas,0.0160701,2010,1,1
Africa_Western,process heat cement,gas,gas,2015,wholesale gas,0.0160701,2015,1,1
Africa_Western,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0.0053877,1975,1,1
Africa_Western,process heat cement,refined liquids,refined liquids,1990,refined liquids industrial,0.0108082,1990,1,1
Africa_Western,process heat cement,refined liquids,refined liquids,2005,refined liquids industrial,0.0155343,2005,1,1
Africa_Western,process heat cement,refined liquids,refined liquids,2010,refined liquids industrial,0.0205032,2010,1,1
Africa_Western,process heat cement,refined liquids,refined liquids,2015,refined liquids industrial,0.0205032,2015,1,1
Australia_NZ,process heat cement,biomass,biomass,1975,delivered biomass,0.0010869,1975,1,1
Australia_NZ,process heat cement,biomass,biomass,1990,delivered biomass,0.0013704,1990,1,1
Australia_NZ,process heat cement,biomass,biomass,2005,delivered biomass,0.001499,2005,1,1
Australia_NZ,process heat cement,biomass,biomass,2010,delivered biomass,0.0014903,2010,1,1
Australia_NZ,process heat cement,biomass,biomass,2015,delivered biomass,0.0014903,2015,1,1
Australia_NZ,process heat cement,coal,coal,1975,delivered coal,0.0157597,1975,1,1
Australia_NZ,process heat cement,coal,coal,1990,delivered coal,0.0198711,1990,1,1
Australia_NZ,process heat cement,coal,coal,2005,delivered coal,0.0217356,2005,1,1
Australia_NZ,process heat cement,coal,coal,2010,delivered coal,0.0216094,2010,1,1
Australia_NZ,process heat cement,coal,coal,2015,delivered coal,0.0216094,2015,1,1
Australia_NZ,process heat cement,gas,gas,1975,wholesale gas,0.0103253,1975,1,1
Australia_NZ,process heat cement,gas,gas,1990,wholesale gas,0.013019,1990,1,1
Australia_NZ,process heat cement,gas,gas,2005,wholesale gas,0.0142406,2005,1,1
Australia_NZ,process heat cement,gas,gas,2010,wholesale gas,0.0141579,2010,1,1
Australia_NZ,process heat cement,gas,gas,2015,wholesale gas,0.0141579,2015,1,1
Australia_NZ,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0,1975,0,0
Australia_NZ,process heat cement,refined liquids,refined liquids,1990,refined liquids industrial,0,1990,0,0
Australia_NZ,process heat cement,refined liquids,refined liquids,2005,refined liquids industrial,0,2005,0,0
Australia_NZ,process heat cement,refined liquids,refined liquids,2010,refined liquids industrial,0,2010,0,0
Australia_NZ,process heat cement,refined liquids,refined liquids,2015,refined liquids industrial,0,2015,0,0
Brazil,process heat cement,biomass,biomass,1975,delivered biomass,0.0528937,1975,1,1
Brazil,process heat cement,biomass,biomass,1990,delivered biomass,0.0635712,1990,1,1
Brazil,process heat cement,biomass,biomass,2005,delivered biomass,0.1100398,2005,1,1
Brazil,process heat cement,biomass,biomass,2010,delivered biomass,0.151197,2010,1,1
Brazil,process heat cement,biomass,biomass,2015,delivered biomass,0.151197,2015,1,1
Brazil,process heat cement,coal,coal,1975,delivered coal,5.51e-4,1975,1,1
Brazil,process heat cement,coal,coal,1990,delivered coal,6.622e-4,1990,1,1
Brazil,process heat cement,coal,coal,2005,delivered coal,0.0011462,2005,1,1
Brazil,process heat cement,coal,coal,2010,delivered coal,0.001575,2010,1,1
Brazil,process heat cement,coal,coal,2015,delivered coal,0.001575,2015,1,1
Brazil,process heat cement,gas,gas,1975,wholesale gas,5.51e-4,1975,1,1
Brazil,process heat cement,gas,gas,1990,wholesale gas,6.622e-4,1990,1,1
Brazil,process heat cement,gas,gas,2005,wholesale gas,0.0011462,2005,1,1
Brazil,process heat cement,gas,gas,2010,wholesale gas,0.001575,2010,1,1
Brazil,process heat cement,gas,gas,2015,wholesale gas,0.001575,2015,1,1
Brazil,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0.001102,1975,1,1
